case_id,case_title,case_text,case_outcome
Case2,Black v Lipovac [1998] FCA 699 ; (1998) 217 ALR 386,"The general principles governing the exercise of the discretion to award indemnity costs after rejection by an unsuccessful party of a so called Calderbank letter were set out in the judgment of the Full Court in Black v Lipovac [1998] FCA 699 ; (1998) 217 ALR 386. In summary those principles are: 1. Mere refusal of a ""Calderbank offer"" does not itself warrant an order for indemnity costs. In this connection it may be noted that Jessup J in Dais Studio Pty Ltd v Bullet Creative Pty Ltd [2008] FCA 42 said that (at [6]): if the rejection of such an offer is to ground a claim for indemnity costs, it must be by reason of some circumstance other than that the offer happened to comply with the Calderbank principle. 2. To obtain an order for indemnity costs the offeror must show that the refusal to accept it was unreasonable. 3. The reasonableness of the conduct of the offeree is to be viewed in the light of the circumstances that existed when the offer was rejected.",cited
Case5,Dr Martens Australia Pty Ltd v Figgins Holdings Pty Ltd (No 2) [2000] FCA 602,"The preceding general principles inform the exercise of the discretion. That discretion is not to be fettered by transformation of approaches and practices developed through the cases into quasi statutory rules. In John S Hayes &amp; Associates Pty Ltd v Kimberly-Clark Australia Pty Ltd (1994) 52 FCR 201 , Hill J said (at 203): care must be taken not to circumscribe the discretion by reference to closed categories. It is not a necessary condition of the power to award costs that a collateral purpose be shown. The categories warranting the exercise of the discretion are not closed ... See also Goldberg J in Dr Martens Australia Pty Ltd v Figgins Holdings Pty Ltd (No 2) [2000] FCA 602 at [15] .",cited
Case9,Australian Broadcasting Corporation v O'Neill [2006] HCA 46,"recent decision of the High Court in Australian Broadcasting Corporation v O'Neill [2006] HCA 46 clarifies this issue. Gleeson CJ and Crennan J (at [19]), after referring to various cases dealing with the grant of interlocutory injunctions in cases of defamation, formulated the general principles governing the grant of such relief in the following terms: ""in all applications for an interlocutory injunction, a court will ask whether the plaintiff has shown that there is a serious question to be tried as to the plaintiff's entitlement to relief, has shown that the plaintiff is likely to suffer injury for which damages will not be an adequate remedy, and has shown that the balance of convenience favours the granting of an injunction.""",applied
Case14,George v Cluning (1979) 53 ALJR 767 (note),"Strictly speaking, a cheque, even a bank cheque, is not a form of legal tender. Subject to some particular contractual or statutory provision, the only forms of legal tender remain Australian notes or, subject to the limits specified, Australian coins see s 36 of the Reserve Bank Act 1959 and s 16 of the Currency Act 1965 respectively. However, in general trade and commerce, as Mason J observed in George v Cluning (1979) 53 ALJR 767 (note) by reference to Canadian authority, a payment by cheque can amount to sufficient payment if not objected to on that account. In this case there was no objection made by the Deputy Commissioner on account of Ganter's endeavouring to settle its indebtedness by the tendering of a cheque only, as I have noted a signification that it was accepted subject to a condition that the cheque would be paid on presentation",followed
Case15,Australian Mid-Eastern Club Limited v Yassim (1989) 1 ACSR 399,"None of this is to suggest that the Deputy Commissioner was under any obligation to accept the proffered cheque. When the history of Ganter's endeavours to pay the debt after the filing of the winding up application is recalled and that the company was, by operation of s 459C(2)(a) the Corporations Act 2001 presumed to be insolvent the Deputy Commissioner would have been entitled not to accept the cheque. A refusal to accept the cheque would not have eliminated the debt in question: Australian Mid-Eastern Club Ltd v Yassim (1989) 1 ACSR 399 , at 403 (NSWCA); Deputy Commissioner of Taxation v Visidet Pty Ltd [2005] FCA 830 at [3] per Gyles J.",followed
Case22,Minister for Immigration and Multicultural Affairs v Wang (2003) 215 CLR 518,"is plain that, where an order is set aside, and a matter is remitted to the Tribunal for reconsideration, there is nothing on which any issue estoppel can be founded: Morales v Minister for Immigration and Multicultural Affairs [1998] FCA 334 ; (1998) 82 FCR 374 ; Minister for Immigration and Multicultural Affairs v Wang (2003) 215 CLR 518. It is perhaps understandable, in the light of the history of the proceedings from the decision of the delegate all the way to the High Court, but very unfortunate, that counsel for the appellants should have sought to argue issue estoppel.",cited
Case25,Re Minister for Immigration &amp; Multicultural Affairs; Ex parte Durairajasingham [2000] HCA 1 ; (2000) 168 ALR 407,"J in Re Minister for Immigration &amp; Multicultural Affairs; Ex parte Durairajasingham [2000] HCA 1 ; (2000) 168 ALR 407 said, at [67]: ... a finding as to whether the prosecutor should be believed in his claim a finding on credibility ... [is] the function of the primary decision-maker par excellence. If the primary decision-maker has stated that he or she does not believe a particular witness, no detailed reasons need to be given as to why that particular witness was not believed. The tribunal must give the reasons for its decision, not the sub-set of reasons why it accepted or rejected individual pieces of evidence.",referred to
Case28,Waterford v Commonwealth [1987] HCA 25 ; (1987) 163 CLR 54,"J, as he then was, said in Waterford v Commonwealth [1987] HCA 25 ; (1987) 163 CLR 54 , at 77: There is no error of law simply in making a wrong finding of fact. A finding, which purports to be a finding of fact, is not rendered immune from judicial examination, if it is not made in good faith, but for an ulterior purpose: in this case, in the light of the remittal to the Tribunal by the High Court, to ""get around"" the factual findings that had earlier been made, in the enquiry as to whether the appellants were entitled to the issue of protection visas. Whether the decision of the third Tribunal be regarded as unreasonable in the Wednesbury corporation sense, or on the basis that the decision was not made in good faith, or on the basis that there was a lack of impartiality in the fact-finding process, the decision of the third Tribunal has to be set aside.",referred to
Case34,ASIC v Mauer-Swisse Securities Ltd (2002) 20 ACLC 1530,"There is a variety of ways in which the interests of persons, to whom liabilities may be owed, can be protected by orders made under the section. The nature of the protection can vary according to the nature of the risks assessed. As Palmer J said in ASIC v Mauer-Swisse Securities Ltd (2002) 20 ACLC 1530 at [37]: '... there may be evidence to suggest that fraud has been perpetrated on a large scale and that many of the victims have no or little information about the extent of the fraud, no or little means for their own investigations, and no or little resources to prosecute their own claims. In such a case, the interests of such persons are protected, within the contemplation of s 1323, by enabling ASIC to conduct an investigation for the purpose of identifying the wrongdoers and exposing them not only to penalties under the Corporations Act and other legislation, but also to claims for compensation from the victims themselves.' `",cited
Case36,Corporate Affairs Commission v ASC Timber Pty Ltd (1989) 7 ACLC 467,"The circumstances in which the Court may make orders under s 1323(1) are wide as indicated by the words 'necessary or desirable ... for the purpose of protecting the interests of a person ...'. There is an element of risk assessment and risk management in the judgment the Court is called on to make. It follows, and has been accepted, that there is no requirement on the part of ASIC to demonstrate a prima facie case of liability on the part of the relevant person or that the person's assets have been or are about to be dissipated Corporate Affairs Commission v ASC Timber Pty Ltd (1989) 7 ACLC 467 at 476 (Powell J); Australian Securities and Investment Commission v Adler (2001) 38 ACSR 266 at [7] (Santow J).",cited
Case41,Australian Securities and Investments Commission v Giann &amp; Giann Pty Ltd [2005] FCA 81 ; (2005) 141 FCR 278,Numerous cases have held that s 911A of the Act extends to a company director who conducts or is involved in a company's carrying on of a financial services business without an Australian financial services licence: see Australian Securities and Investments Commission v Giann &amp; Giann Pty Ltd [2005] FCA 81 ; (2005) 141 FCR 278; Australian Securities and Investments Commission v Manito Pty Ltd (2005) 53 ACSR 56; Australian Securities and Investments Commission v Drury Management Pty Ltd [2004] QSC 68.,cited
Case44,Ainsworth v Criminal Justice Commission [1992] HCA 10 ; (1992) 175 CLR 564,"In Ainsworth v Criminal Justice Commission [1992] HCA 10 ; (1992) 175 CLR 564, at 581-582, Mason CJ, Dawson, Toohey and Gaudron JJ said that superior courts have inherent power to grant declaratory relief. Their Honours added that it is a discretionary power which it is neither possible nor desirable to fetter by laying down rules as to the manner of its exercise, although it must be recognised that it is a power confined by the considerations which mark out the boundaries of judicial power. In the same case, Brennan J emphasised that the making of a declaration, and the terms in which it is to be made, are in the court's discretion: at 596.",cited
